Datetime,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,Line Number,Cause for Delay,Station Name
4/1/2020 2:37:00,Wednesday,YONGE SHP STATION,TUMVS,0,0,W,SHP,6186,LINE 4,Operator Violated Signal,NO MATCH
4/1/2020 23:49:00,Wednesday,YONGE SHP STATION,MUSC,0,0,E,SHP,6171,LINE 4,Miscellaneous Speed Control,NO MATCH
4/2/2020 1:01:00,Thursday,YONGE SHP STATION,EUOE,5,10,E,SHP,6171,LINE 4,Rail Cars & Shops Opr. Error,NO MATCH
4/3/2020 2:39:00,Friday,YONGE SHP STATION,TUMVS,0,0,W,SHP,6166,LINE 4,Operator Violated Signal,NO MATCH
4/4/2020 19:16:00,Saturday,YONGE SHP STATION,TUSC,3,8,E,SHP,6141,LINE 4,Operator Overspeeding,NO MATCH
4/5/2020 12:12:00,Sunday,YONGE SHP STATION,TUNIP,5,10,W,SHP,6181,LINE 4,Operator Not In Position,NO MATCH
4/5/2020 23:58:00,Sunday,YONGE BD STATION,SUUT,6,10,W,BD,5164,LINE 2,Unauthorized at Track Level,NO MATCH
4/8/2020 20:23:00,Wednesday,YONGE SHP STATION,TUSC,0,0,W,SHP,6191,LINE 4,Operator Overspeeding,NO MATCH
4/8/2020 21:28:00,Wednesday,YONGE SHP STATION,TUSC,0,0,E,SHP,6166,LINE 4,Operator Overspeeding,NO MATCH
4/11/2020 0:17:00,Saturday,YONGE BD STATION,MUPAA,3,9,E,BD,5156,LINE 2,Passenger Assistance Alarm Activated - No Trouble Found,NO MATCH
4/11/2020 6:12:00,Saturday,YONGE BD STATION,PUTO,22,27,E,BD,5262,LINE 2,T&S Other,NO MATCH
4/12/2020 7:56:00,Sunday,YONGE SHP STATION,TUSC,0,0,E,SHP,6196,LINE 4,Operator Overspeeding,NO MATCH
4/14/2020 9:51:00,Tuesday,YONGE BD STATION,SUO,0,0,E,BD,5074,LINE 2,Passenger Other,NO MATCH
4/14/2020 11:13:00,Tuesday,YONGE SHP STATION,PUSWZ,0,0,E,SHP,6196,LINE 4,Work Zone Problems - Signals,NO MATCH
4/16/2020 1:16:00,Thursday,YONGE BD STATION,SUDP,3,7,E,BD,5537,LINE 2,Disorderly Patron,NO MATCH
4/16/2020 20:19:00,Thursday,YONGE SHP STATION,MUDD,4,9,E,SHP,6156,LINE 4,Door Problems - Debris Related,NO MATCH
4/17/2020 11:45:00,Friday,YONGE BD STATION,SUDP,7,10,E,BD,5077,LINE 2,Disorderly Patron,NO MATCH
4/17/2020 19:39:00,Friday,YONGE BD STATION,MUIR,3,6,E,BD,5280,LINE 2,Injured or ill Customer (On Train) - Medical Aid Refused,NO MATCH
4/17/2020 19:52:00,Friday,YONGE BD STATION,SUDP,3,6,E,BD,5077,LINE 2,Disorderly Patron,NO MATCH
4/18/2020 0:24:00,Saturday,YONGE SHP STATION,TUNOA,5,11,W,SHP,6186,LINE 4,No Operator Immediately Available ,NO MATCH
4/19/2020 14:21:00,Sunday,YONGE SHP STATION,TUSC,0,0,W,SHP,6166,LINE 4,Operator Overspeeding,NO MATCH
4/20/2020 8:27:00,Monday,YONGE SHP STATION,TUSC,0,0,E,SHP,6161,LINE 4,Operator Overspeeding,NO MATCH
4/21/2020 22:57:00,Tuesday,YONGE BD STATION,SUO,0,0,W,BD,5283,LINE 2,Passenger Other,NO MATCH
4/22/2020 10:26:00,Wednesday,YONGE BD STATION,SUDP,4,6,W,BD,5254,LINE 2,Disorderly Patron,NO MATCH
4/22/2020 23:43:00,Wednesday,YONGE BD STATION,TUKEY,0,0,W,BD,5162,LINE 2,Two Drum Switch Keys Activated,NO MATCH
4/23/2020 1:22:00,Thursday,YONGE BD STATION,TUS,5,10,W,BD,5017,LINE 2,Crew Unable to Maintain Schedule,NO MATCH
4/23/2020 20:38:00,Thursday,YONGE BD STATION,MUPAA,0,0,W,BD,5303,LINE 2,Passenger Assistance Alarm Activated - No Trouble Found,NO MATCH
4/24/2020 7:36:00,Friday,YONGE BD STATION,MUI,0,0,W,BD,5111,LINE 2,Injured or ill Customer (On Train) - Transported,NO MATCH
4/24/2020 12:51:00,Friday,YONGE BD STATION,MUI,17,20,W,BD,5201,LINE 2,Injured or ill Customer (On Train) - Transported,NO MATCH
4/24/2020 17:46:00,Friday,YONGE BD STATION,SUUT,0,0,W,BD,5146,LINE 2,Unauthorized at Track Level,NO MATCH
4/24/2020 23:02:00,Friday,YONGE SHP STATION,TUSC,0,0,W,SHP,6161,LINE 4,Operator Overspeeding,NO MATCH
4/25/2020 8:41:00,Saturday,YONGE BD STATION,MUPLC,0,0,E,BD,5020,LINE 2,Fire/Smoke Plan C,NO MATCH
4/25/2020 10:36:00,Saturday,YONGE SHP STATION,MUTO,3,8,W,SHP,6191,LINE 4,Misc. Transportation Other - Employee Non-Chargeable,NO MATCH
4/25/2020 10:39:00,Saturday,YONGE SHP STATION,TUCC,6,11,E,SHP,6156,LINE 4,Transit Control Related Problems,NO MATCH
4/30/2020 11:12:00,Thursday,YONGE BD STATION,SUDP,3,6,E,BD,5272,LINE 2,Disorderly Patron,NO MATCH
5/1/2020 7:52:00,Friday,YONGE BD STATION,EUSC,0,0,W,BD,5256,LINE 2,Speed Control Equipment  ,NO MATCH
5/5/2020 6:29:00,Tuesday,DONLANDS STATION,MUNOA,3,5,W,YU,0,LINE 1,No Operator Immediately Available - Not E.S.A. Related ,NO MATCH
5/5/2020 6:29:00,Tuesday,WILSON STATION,MUNOA,3,5,S,BD,0,LINE 2,No Operator Immediately Available - Not E.S.A. Related ,NO MATCH
5/6/2020 14:45:00,Wednesday,YONGE BD STATION,MUD,3,5,W,BD,5204,LINE 2,Door Problems - Passenger Related,NO MATCH
5/12/2020 0:58:00,Tuesday,YONGE STATION,SUDP,0,0,E,BD,5129,LINE 2,Disorderly Patron,NO MATCH
5/13/2020 1:50:00,Wednesday,YONGE BD STATION,SUUT,0,0,W,BD,5110,LINE 2,Unauthorized at Track Level,NO MATCH
5/14/2020 11:46:00,Thursday,YONGE - SHEPPARD (LEAV,MUTD,5,10,E,SHP,6151,LINE 4,Training Department Related Delays,NO MATCH
