Station,Ridership,stationID
BATHURST STATION,30598,200
BAY STATION,20980,201
BLOOR-YONGE STATION,121531,202
BROADVIEW STATION,11720,203
CASTLE FRANK STATION,8943,204
CHESTER STATION,6197,205
CHRISTIE STATION,11407,206
COXWELL STATION,13450,207
DONLANDS STATION,6317,208
DUFFERIN STATION,26800,209
DUNDAS WEST STATION,23861,210
GREENWOOD STATION,9567,211
HIGH PARK STATION,9173,212
ISLINGTON STATION,25023,213
JANE STATION,14953,214
KEELE STATION,16305,215
KENNEDY STATION,42881,216
KIPLING STATION,49392,217
LANSDOWNE STATION,17406,218
MAIN STREET STATION,18682,219
OLD MILL STATION,6109,220
OSSINGTON STATION,22109,221
PAPE STATION,34506,222
ROYAL YORK STATION,17337,223
RUNNYMEDE STATION,15838,224
SHERBOURNE STATION,24689,225
SPADINA STATION,27601,226
ST GEORGE STATION,108866,227
VICTORIA PARK STATION,32276,228
WARDEN STATION,21843,229
WOODBINE STATION,10803,230
