Station,Ridership
BLOOR-YONGE STATION,156643
COLLEGE STATION,39137
DAVISVILLE STATION,15903
DOWNSVIEW PARK STATION,5618
DUNDAS STATION,72406
DUPONT STATION,11084
EGLINTON STATION,60814
EGLINTON WEST STATION,13982
FINCH STATION,70775
FINCH WEST STATION,18345
GLENCAIRN STATION,5878
HIGHWAY 407 STATION,7649
KING STATION,35107
LAWRENCE STATION,21197
LAWRENCE WEST STATION,19742
MUSEUM STATION,9604
NORTH YORK CENTRE STATION,16699
OSGOODE STATION,19323
PIONEER VILLAGE STATION,16570
QUEEN STATION,36714
QUEEN'S PARK STATION,34444
ROSEDALE STATION,4875
SHEPPARD WEST STATION,19495
SHEPPARD-YONGE STATION,57501
SPADINA STATION,11479
ST ANDREW STATION,34576
ST CLAIR STATION,27336
ST CLAIR WEST STATION,21013
ST GEORGE STATION,101128
ST PATRICK STATION,23989
SUMMERHILL STATION,5045
UNION STATION,136515
VAUGHAN METROPOLITAN CENTRE STATION,20394
WELLESLEY STATION,17705
WILSON STATION,21579
YORK MILLS STATION,20498
YORK UNIVERSITY STATION,20447
YORKDALE STATION,19725
